id,lat,long
1,42.0,-125.0
2,42.0,-124.0
3,42.0,-123.0
4,42.0,-122.0
5,42.0,-121.0
6,42.0,-120.0
7,42.0,-119.0
8,41.0,-125.0
9,41.0,-124.0
10,41.0,-123.0
11,41.0,-122.0
12,41.0,-121.0
13,41.0,-120.0
14,41.0,-119.0
15,40.0,-125.0
16,40.0,-124.0
17,40.0,-123.0
18,40.0,-122.0
19,40.0,-121.0
20,40.0,-119.0
21,39.0,-124.0
22,39.0,-123.0
23,39.0,-122.0
24,39.0,-121.0
25,39.0,-120.0
26,39.0,-119.0
27,38.0,-123.0
28,38.0,-122.0
29,38.0,-121.0
30,38.0,-120.0
31,37.0,-123.0
32,37.0,-122.0
33,37.0,-121.0
