id,lat,long
1,42.0,-125.0
2,44.0,-125.0
3,46.0,-125.0
4,48.0,-125.0
5,42.0,-123.0
6,44.0,-123.0
7,46.0,-123.0
8,48.0,-123.0
9,42.0,-121.0
10,44.0,-121.0
11,46.0,-121.0
12,48.0,-121.0
13,42.0,-119.0
14,44.0,-119.0
15,46.0,-119.0
16,48.0,-119.0
17,42.0,-117.0
18,44.0,-117.0
19,46.0,-117.0
20,48.0,-117.0
